timestamp,src_host,dst_host,latency_ms,jitter_ms,packet_loss_percent,throughput_mbps,sla_compliant,path_type,traffic_pattern,hour_of_da
2025-07-13 18:19:57,h1,h2,5.649,1.168,1.404,64.77,False,intra,evening_rush,18
2025-07-13 18:19:57,h1,h3,20.488,6.62,0.542,54.905,True,fast,evening_rush,18
2025-07-13 18:19:57,h1,h4,27.926,10.898,1.261,53.009,False,fast,evening_rush,18
2025-07-13 18:19:57,h1,h5,50.443,18.036,1.1,37.934,False,slow,evening_rush,18
2025-07-13 18:19:57,h1,h6,49.462,10.135,2.473,36.994,False,slow,evening_rush,18
2025-07-13 18:19:57,h2,h1,5.561,2.051,1.831,58.498,False,intra,evening_rush,18
2025-07-13 18:19:57,h2,h3,24.172,6.942,1.235,45.996,False,fast,evening_rush,18
2025-07-13 18:19:57,h2,h4,23.725,7.282,0.894,49.31,True,fast,evening_rush,18
2025-07-13 18:19:57,h2,h5,52.089,20,0.582,34.974,False,slow,evening_rush,18
2025-07-13 18:19:57,h2,h6,48.86,10.739,0.988,35.336,False,slow,evening_rush,18
2025-07-13 18:19:57,h3,h1,25.008,7.587,2.327,51.228,False,fast,evening_rush,18
2025-07-13 18:19:57,h3,h2,28.326,11.086,2.327,51.041,False,fast,evening_rush,18
2025-07-13 18:19:57,h3,h4,4.604,1.552,2.418,58.979,False,intra,evening_rush,18
2025-07-13 18:19:57,h3,h5,40.661,11.154,3.0,21.644,False,limited,evening_rush,18
2025-07-13 18:19:57,h3,h6,41.223,15.061,2.221,19.692,False,limited,evening_rush,18
2025-07-13 18:19:57,h4,h1,21.54,5.038,2.825,51.668,False,fast,evening_rush,18
2025-07-13 18:19:57,h4,h2,24.359,5.657,2.533,49.443,False,fast,evening_rush,18
2025-07-13 18:19:57,h4,h3,4.362,1.088,2.261,53.68,False,intra,evening_rush,18
2025-07-13 18:19:57,h4,h5,43.58,15.35,1.502,22.303,False,limited,evening_rush,18
2025-07-13 18:19:57,h4,h6,38.789,10.145,0.176,23.392,False,limited,evening_rush,18
2025-07-13 18:19:57,h5,h1,46.802,16.143,1.051,40.956,False,slow,evening_rush,18
2025-07-13 18:19:57,h5,h2,50.669,14.545,0.585,33.8,False,slow,evening_rush,18
2025-07-13 18:19:57,h5,h3,37.758,12.98,2.171,23.898,False,limited,evening_rush,18
2025-07-13 18:19:57,h5,h4,43.96,10.04,1.449,21.495,False,limited,evening_rush,18
2025-07-13 18:19:57,h5,h6,5.308,1.408,2.041,54.667,False,intra,evening_rush,18
2025-07-13 18:19:57,h6,h1,65.114,17.515,0.5,34.664,False,slow,evening_rush,18
2025-07-13 18:19:57,h6,h2,60.725,20,1.79,35.096,False,slow,evening_rush,18
2025-07-13 18:19:57,h6,h3,44.647,11.568,1.357,19.876,False,limited,evening_rush,18
2025-07-13 18:19:57,h6,h4,34.796,7.524,2.992,20.131,False,limited,evening_rush,18
2025-07-13 18:19:57,h6,h5,4.441,1.105,1.448,65.153,False,intra,evening_rush,18
2025-07-13 18:19:59,h1,h2,4.6,1.521,0.885,59.391,True,intra,evening_rush,18
2025-07-13 18:19:59,h1,h3,25.923,10.1,1.465,54.944,False,fast,evening_rush,18
2025-07-13 18:19:59,h1,h4,26.138,5.276,2.561,53.789,False,fast,evening_rush,18
2025-07-13 18:19:59,h1,h5,51.183,13.263,0.31,34.738,False,slow,evening_rush,18
2025-07-13 18:19:59,h1,h6,45.924,18.048,0.37,41.147,False,slow,evening_rush,18
2025-07-13 18:19:59,h2,h1,4.924,1.685,3.01,57.134,False,intra,evening_rush,18
2025-07-13 18:19:59,h2,h3,25.832,9.88,1.129,49.884,False,fast,evening_rush,18
2025-07-13 18:19:59,h2,h4,20.498,4.715,1.847,51.291,False,fast,evening_rush,18
2025-07-13 18:19:59,h2,h5,53.877,15.889,0.971,35.538,False,slow,evening_rush,18
2025-07-13 18:19:59,h2,h6,66.158,16.161,0.753,39.694,False,slow,evening_rush,18
2025-07-13 18:19:59,h3,h1,24.261,5.145,2.095,53.38,False,fast,evening_rush,18
2025-07-13 18:19:59,h3,h2,23.836,5.42,2.401,53.967,False,fast,evening_rush,18
2025-07-13 18:19:59,h3,h4,5.478,1.525,1.961,63.597,False,intra,evening_rush,18
2025-07-13 18:19:59,h3,h5,47.21,15.646,0.217,23.13,False,limited,evening_rush,18
2025-07-13 18:19:59,h3,h6,43.775,11.057,1.557,21.197,False,limited,evening_rush,18
2025-07-13 18:19:59,h4,h1,25.489,5.207,1.691,48.63,False,fast,evening_rush,18
2025-07-13 18:19:59,h4,h2,23.724,8.896,0.285,47.251,True,fast,evening_rush,18
2025-07-13 18:19:59,h4,h3,4.068,1.408,2.389,61.088,False,intra,evening_rush,18
2025-07-13 18:19:59,h4,h5,40.057,8.624,1.871,21.644,False,limited,evening_rush,18
2025-07-13 18:19:59,h4,h6,43.174,8.846,1.792,23.76,False,limited,evening_rush,18
2025-07-13 18:19:59,h5,h1,60.203,20,0.902,40.766,False,slow,evening_rush,18
2025-07-13 18:19:59,h5,h2,65.739,18.484,2.306,38.928,False,slow,evening_rush,18
2025-07-13 18:19:59,h5,h3,39.727,14.87,1.852,21.434,False,limited,evening_rush,18
2025-07-13 18:19:59,h5,h4,43.392,17.122,2.216,22.989,False,limited,evening_rush,18
2025-07-13 18:19:59,h5,h6,4.419,0.943,0.608,64.178,True,intra,evening_rush,18
2025-07-13 18:19:59,h6,h1,49.879,12.187,2.167,38.77,False,slow,evening_rush,18
2025-07-13 18:19:59,h6,h2,49.373,16.61,2.129,36.776,False,slow,evening_rush,18
2025-07-13 18:19:59,h6,h3,43.113,16.317,2.421,22.444,False,limited,evening_rush,18
2025-07-13 18:19:59,h6,h4,43.157,15.707,2.803,23.185,False,limited,evening_rush,18
2025-07-13 18:19:59,h6,h5,5.227,1.081,1.099,54.013,False,intra,evening_rush,18
2025-07-13 18:20:01,h1,h2,4.527,1.506,0.903,55.135,True,intra,evening_rush,18
2025-07-13 18:20:01,h1,h3,22.745,8.524,0.474,50.688,True,fast,evening_rush,18
2025-07-13 18:20:01,h1,h4,25.071,6.946,0.473,52.739,True,fast,evening_rush,18
2025-07-13 18:20:01,h1,h5,63.204,20,1.931,40.625,False,slow,evening_rush,18
2025-07-13 18:20:01,h1,h6,65.188,13.796,0.257,36.57,False,slow,evening_rush,18
2025-07-13 18:20:01,h2,h1,4.684,1.065,2.912,55.218,False,intra,evening_rush,18
2025-07-13 18:20:01,h2,h3,24.435,9.02,1.412,53.397,False,fast,evening_rush,18
2025-07-13 18:20:01,h2,h4,22.747,7.633,0.541,54.961,True,fast,evening_rush,18
2025-07-13 18:20:01,h2,h5,47.564,11.949,0.443,35.889,False,slow,evening_rush,18
2025-07-13 18:20:01,h2,h6,47.438,17.499,1.696,39.199,False,slow,evening_rush,18
2025-07-13 18:20:01,h3,h1,19.643,6.682,1.829,45.525,False,fast,evening_rush,18
2025-07-13 18:20:01,h3,h2,23.991,6.179,3.048,49.824,False,fast,evening_rush,18
2025-07-13 18:20:01,h3,h4,5.016,1.451,3.134,61.174,False,intra,evening_rush,18
2025-07-13 18:20:01,h3,h5,42.793,14.236,1.671,21.022,False,limited,evening_rush,18
2025-07-13 18:20:01,h3,h6,42.442,10.363,2.096,23.683,False,limited,evening_rush,18
2025-07-13 18:20:01,h4,h1,20.872,7.425,2.844,52.646,False,fast,evening_rush,18
2025-07-13 18:20:01,h4,h2,27.076,7.549,0.733,51.477,True,fast,evening_rush,18
2025-07-13 18:20:01,h4,h3,5.666,1.923,0.301,59.192,True,intra,evening_rush,18
2025-07-13 18:20:01,h4,h5,45.574,9.188,3.046,21.251,False,limited,evening_rush,18
2025-07-13 18:20:01,h4,h6,33.282,7.492,1.398,21.726,False,limited,evening_rush,18
2025-07-13 18:20:01,h5,h1,62.885,20,1.035,39.659,False,slow,evening_rush,18
2025-07-13 18:20:01,h5,h2,65.695,13.645,0.173,38.461,False,slow,evening_rush,18
2025-07-13 18:20:01,h5,h3,41.307,16.329,1.221,22.059,False,limited,evening_rush,18
2025-07-13 18:20:01,h5,h4,47.354,14.656,2.518,23.996,False,limited,evening_rush,18
2025-07-13 18:20:01,h5,h6,4.999,1.835,3.101,55.905,False,intra,evening_rush,18
2025-07-13 18:20:01,h6,h1,54.428,20,2.115,41.211,False,slow,evening_rush,18
2025-07-13 18:20:01,h6,h2,62.154,16.853,0.251,39.969,False,slow,evening_rush,18
2025-07-13 18:20:01,h6,h3,33.928,8.457,0.756,22.244,True,limited,evening_rush,18
2025-07-13 18:20:01,h6,h4,47.853,18.854,3.013,21.973,False,limited,evening_rush,18
2025-07-13 18:20:01,h6,h5,3.946,1.492,1.617,64.537,False,intra,evening_rush,18
2025-07-13 18:20:03,h1,h2,5.097,1.882,2.744,57.254,False,intra,evening_rush,18
2025-07-13 18:20:03,h1,h3,27.907,10.095,2.854,45.343,False,fast,evening_rush,18
2025-07-13 18:20:03,h1,h4,21.922,8.651,1.075,51.451,False,fast,evening_rush,18
2025-07-13 18:20:03,h1,h5,58.731,20,1.924,39.329,False,slow,evening_rush,18
2025-07-13 18:20:03,h1,h6,63.701,18.509,0.29,38.951,False,slow,evening_rush,18
2025-07-13 18:20:03,h2,h1,5.123,1.463,1.499,57.059,False,intra,evening_rush,18
2025-07-13 18:20:03,h2,h3,24.442,8.957,2.505,46.726,False,fast,evening_rush,18
2025-07-13 18:20:03,h2,h4,25.32,7.959,1.33,48.551,False,fast,evening_rush,18
2025-07-13 18:20:03,h2,h5,49.031,14.133,2.66,34.381,False,slow,evening_rush,18
2025-07-13 18:20:03,h2,h6,58.279,16.718,2.438,38.814,False,slow,evening_rush,18
2025-07-13 18:20:03,h3,h1,26.112,6.478,1.764,50.689,False,fast,evening_rush,18
2025-07-13 18:20:03,h3,h2,19.885,4.123,2.675,45.469,False,fast,evening_rush,18
2025-07-13 18:20:03,h3,h4,4.619,1.176,1.558,59.209,False,intra,evening_rush,18
2025-07-13 18:20:03,h3,h5,41.976,16.584,1.147,20.393,False,limited,evening_rush,18
2025-07-13 18:20:03,h3,h6,43.41,9.448,1.839,22.394,False,limited,evening_rush,18
2025-07-13 18:20:03,h4,h1,25.202,7.877,2.646,49.096,False,fast,evening_rush,18
2025-07-13 18:20:03,h4,h2,20.844,6.877,3.186,53.839,False,fast,evening_rush,18
2025-07-13 18:20:03,h4,h3,4.225,1.543,0.88,57.674,True,intra,evening_rush,18
2025-07-13 18:20:03,h4,h5,34.343,12.188,1.021,19.817,False,limited,evening_rush,18
2025-07-13 18:20:03,h4,h6,42.439,14.189,2.725,21.737,False,limited,evening_rush,18
2025-07-13 18:20:03,h5,h1,54.407,12.655,1.386,38.887,False,slow,evening_rush,18
2025-07-13 18:20:03,h5,h2,56.434,20,2.631,39.029,False,slow,evening_rush,18
2025-07-13 18:20:03,h5,h3,44.675,14.901,1.235,20.089,False,limited,evening_rush,18
2025-07-13 18:20:03,h5,h4,41.795,13.155,2.398,23.695,False,limited,evening_rush,18
2025-07-13 18:20:03,h5,h6,3.933,1.472,2.49,65.246,False,intra,evening_rush,18
2025-07-13 18:20:03,h6,h1,62.894,20,0.735,36.447,False,slow,evening_rush,18
2025-07-13 18:20:03,h6,h2,56.862,18.68,0.632,40.065,False,slow,evening_rush,18
2025-07-13 18:20:03,h6,h3,39.293,8.855,1.917,23.087,False,limited,evening_rush,18
2025-07-13 18:20:03,h6,h4,47.864,10.792,2.347,20.579,False,limited,evening_rush,18
2025-07-13 18:20:03,h6,h5,4.605,1.553,0.979,53.444,True,intra,evening_rush,18
2025-07-13 18:20:05,h1,h2,5.332,1.593,2.844,56.466,False,intra,evening_rush,18
2025-07-13 18:20:05,h1,h3,23.916,5.536,1.651,45.759,False,fast,evening_rush,18
2025-07-13 18:20:05,h1,h4,24.997,8.356,1.891,48.079,False,fast,evening_rush,18
2025-07-13 18:20:05,h1,h5,64.065,15.49,2.658,36.111,False,slow,evening_rush,18
2025-07-13 18:20:05,h1,h6,64.979,15.647,1.115,37.791,False,slow,evening_rush,18
2025-07-13 18:20:05,h2,h1,5.521,1.938,1.801,56.089,False,intra,evening_rush,18
2025-07-13 18:20:05,h2,h3,26.538,10.027,0.694,52.902,False,fast,evening_rush,18
2025-07-13 18:20:05,h2,h4,27.255,7.044,0.932,54.348,True,fast,evening_rush,18
2025-07-13 18:20:05,h2,h5,61.793,13.744,2.795,35.735,False,slow,evening_rush,18
2025-07-13 18:20:05,h2,h6,59.179,15.973,0.216,38.202,False,slow,evening_rush,18
2025-07-13 18:20:05,h3,h1,21.015,6.926,0.897,54.675,True,fast,evening_rush,18
2025-07-13 18:20:05,h3,h2,25.012,5.835,0.903,51.502,True,fast,evening_rush,18
2025-07-13 18:20:05,h3,h4,5.378,1.717,1.175,62.866,False,intra,evening_rush,18
2025-07-13 18:20:05,h3,h5,38.167,12.525,3.064,22.608,False,limited,evening_rush,18
2025-07-13 18:20:05,h3,h6,33.012,11.295,0.296,21.044,False,limited,evening_rush,18
2025-07-13 18:20:05,h4,h1,25.806,8.433,2.751,50.016,False,fast,evening_rush,18
2025-07-13 18:20:05,h4,h2,23.627,8.787,1.553,53.858,False,fast,evening_rush,18
2025-07-13 18:20:05,h4,h3,4.301,1.012,1.307,62.465,False,intra,evening_rush,18
2025-07-13 18:20:05,h4,h5,44.224,9.084,3.143,20.004,False,limited,evening_rush,18
2025-07-13 18:20:05,h4,h6,43.076,15.538,2.264,20.566,False,limited,evening_rush,18
2025-07-13 18:20:05,h5,h1,47.641,16.923,0.338,41.077,False,slow,evening_rush,18
2025-07-13 18:20:05,h5,h2,64.331,14.808,0.335,34.17,False,slow,evening_rush,18
2025-07-13 18:20:05,h5,h3,32.786,9.392,1.752,20.534,False,limited,evening_rush,18
2025-07-13 18:20:05,h5,h4,41.425,9.931,1.399,22.218,False,limited,evening_rush,18
2025-07-13 18:20:05,h5,h6,5.2,1.429,1.715,63.675,False,intra,evening_rush,18
2025-07-13 18:20:05,h6,h1,47.469,18.646,2.88,38.664,False,slow,evening_rush,18
2025-07-13 18:20:05,h6,h2,66.631,16.746,0.889,35.786,False,slow,evening_rush,18
2025-07-13 18:20:05,h6,h3,41.432,12.494,1.776,20.437,False,limited,evening_rush,18
2025-07-13 18:20:05,h6,h4,47.991,17.778,3.062,22.172,False,limited,evening_rush,18
2025-07-13 18:20:05,h6,h5,4.809,1.088,0.294,57.764,True,intra,evening_rush,18
2025-07-13 18:20:07,h1,h2,4.032,0.841,1.4,59.282,False,intra,evening_rush,18
2025-07-13 18:20:07,h1,h3,22.572,4.982,1.098,52.485,False,fast,evening_rush,18
2025-07-13 18:20:07,h1,h4,21.538,4.446,0.948,51.996,True,fast,evening_rush,18
2025-07-13 18:20:07,h1,h5,46.755,14.053,2.76,34.543,False,slow,evening_rush,18
2025-07-13 18:20:07,h1,h6,52.409,15.154,0.476,38.643,False,slow,evening_rush,18
2025-07-13 18:20:07,h2,h1,4.564,1.741,2.365,60.182,False,intra,evening_rush,18
2025-07-13 18:20:07,h2,h3,24.953,7.103,1.999,51.68,False,fast,evening_rush,18
2025-07-13 18:20:07,h2,h4,25.969,6.38,1.927,46.386,False,fast,evening_rush,18
2025-07-13 18:20:07,h2,h5,57.486,17.03,2.103,37.556,False,slow,evening_rush,18
2025-07-13 18:20:07,h2,h6,62.142,20,1.429,39.634,False,slow,evening_rush,18
2025-07-13 18:20:07,h3,h1,22.916,7.691,1.256,51.218,False,fast,evening_rush,18
2025-07-13 18:20:07,h3,h2,24.061,6.545,1.249,54.528,False,fast,evening_rush,18
